ts,uid,synth_src_ip,src_port,synth_dest_ip,dest_port,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,orig_mac,resp_mac,prefix_src,prefix_dest
1696677294.938163,CNg4qA1EzLBSGA06G5,0.0.0.0,68,172.16.0.0,67,udp,-,0.003353,316,606,SF,T,T,0,Dd,1,344,2,662,(empty),-,-,This network,Private network range - 172
1696677145.274164,C5Co8ayRpREf6nkYk,137.110.1.244,51267,127.0.0.200,993,tcp,ssl,0.181514,353,621,SF,T,F,0,ShADadFfR,12,977,22,2402,(empty),-,-,UCSD - 137,Loopback
1696677839.047767,CS80Cs3G0uNxVKWK4k,132.239.0.50,59084,169.228.0.200,53,udp,dns,0.000442,46,512,SF,T,T,0,Dd,1,74,2,568,(empty),-,-,UCSD - 132,UCSD - 169
1696676440.346306,Csi1r32sOFN0GbhpAc,128.54.0.200,52041,137.110.1.244,7000,tcp,-,2.035458,0,0,S0,T,T,0,S,4,256,0,0,(empty),-,-,UCSD - 128,UCSD - 137
1696676587.83763,CiEQKt78vn2a4SaLd,137.110.0.200,59302,192.135.238.2,7000,tcp,-,4.077972,0,0,S0,T,T,0,S,10,640,0,0,(empty),-,-,UCSD - 137,Marine Physical Lab - ..238
1696677093.484858,C3YM6A2bGu0eZoo7r8,132.239.0.50,62527,132.239.0.0,7000,tcp,-,2.019405,0,0,S0,T,T,0,S,4,256,0,0,(empty),-,-,UCSD - 132,UCSD - 132
1696677504.120302,CgA9i34NOujBEMjOS9,132.239.0.200,54721,192.135.237.4,53,udp,dns,0.000900,120,240,SF,T,T,0,Dd,1,148,2,296,(empty),-,-,UCSD - 132,Marine Physical Lab - ..237
1696676509.575827,CuXWzB407MzsK7N3ec,192.168.0.0,55946,192.135.237.3,7000,tcp,-,4.070110,0,0,S0,T,T,0,S,10,640,0,0,(empty),-,-,Private network range - 192,Marine Physical Lab - ..237
1696676894.638253,C48qV33RqkAcon9Yhk,128.54.1.244,61238,192.168.1.244,7000,tcp,-,2.078922,0,0,S0,T,T,0,S,4,256,0,0,(empty),-,-,UCSD - 128,Private network range - 192
1696678039.545124,Cm6bfBnlMCyeUpix7,10.0.0.50,63901,192.135.237.7,7000,tcp,-,4.054284,0,0,S0,T,T,0,S,10,640,0,0,(empty),-,-,Private network range,Marine Physical Lab - ..237
1696677317.318648,CrTkGMZtKoFrJSma,192.168.1.244,8711,192.135.238.10,443,tcp,-,-,-,-,S0,T,F,0,S,1,52,0,0,(empty),-,-,Private network range - 192,Marine Physical Lab - ..238
1696677712.935175,CaktEr2inMRO0pvIRk,127.0.1.244,49260,0.0.0.0,7000,tcp,-,2.023935,0,0,S0,T,T,0,S,4,256,0,0,(empty),-,-,Loopback,This network
1696676685.716793,C5afnh5fBlVsfserl,128.54.0.0,61844,0.0.0.50,7000,tcp,-,2.017091,0,0,S0,T,T,0,S,4,256,0,0,(empty),-,-,UCSD - 128,This network
1696678066.008807,CD6mMF1yfkCwtWOVEe,128.54.0.200,51667,192.135.238.6,7000,tcp,-,4.092034,0,0,S0,T,T,0,S,10,640,0,0,(empty),-,-,UCSD - 128,Marine Physical Lab - ..238
1696677057.830631,CTstNv38RxT1iuMtXc,10.0.0.200,11715,169.228.0.50,2211,tcp,-,0.279971,0,0,REJ,T,F,0,Sr,1,52,2,80,(empty),-,-,Private network range,UCSD - 169
1696676429.175383,CMQmZ8n2ceXXGWTKc,0.0.0.200,64135,169.228.0.200,7000,tcp,-,2.010545,0,0,S0,T,T,0,S,4,256,0,0,(empty),-,-,This network,UCSD - 169
1696677905.758847,Ccnm1k1xLCYem1pHO6,127.0.0.200,63898,100.64.1.244,7000,tcp,-,4.202878,0,0,S0,T,T,0,S,10,640,0,0,(empty),-,-,Loopback,CGNAT
1696676908.064524,CjEyUU2BLouveixcLh,128.54.1.244,49227,172.16.0.50,443,tcp,ssl,0.256204,5496,14775,SF,T,F,0,ShADdafF,13,6028,38,31094,(empty),-,-,UCSD - 128,Private network range - 172
1696676833.60568,CMeqQR3VZCmAyimwA6,100.64.0.0,58203,10.0.0.200,7000,tcp,-,2.011604,0,0,S0,T,T,0,S,4,256,0,0,(empty),-,-,CGNAT,Private network range
1696677735.559755,ClDhtg4cDwFRGwVzQb,192.135.238.4,57686,100.64.0.200,53,tcp,dns,0.007798,2128,81,SF,T,T,0,ShADadFf,6,2380,8,506,(empty),-,-,Marine Physical Lab - ..238,CGNAT
1696677278.037729,C93nm71MRkVPCSzD0g,169.228.1.244,59887,10.0.0.50,443,tcp,ssl,363.021090,912,798,SF,T,F,0,ShADadFf,16,1660,26,2964,(empty),-,-,UCSD - 169,Private network range
1696677905.804805,CrRXRK2iGUdzkqiQHb,10.0.1.244,61829,192.135.237.3,7000,tcp,-,2.026108,0,0,S0,T,T,0,S,4,256,0,0,(empty),-,-,Private network range,Marine Physical Lab - ..237
1696676400.912408,CJYT8S1iCDHUzdDsA3,192.135.238.10,51525,192.135.237.5,7000,tcp,-,4.173839,0,0,S0,T,T,0,S,10,640,0,0,(empty),-,-,Marine Physical Lab - ..238,Marine Physical Lab - ..237
1696676557.965016,CQT08V2uFpcg8KjBO2,10.0.0.50,49524,127.0.0.50,7000,tcp,-,4.064575,0,0,S0,T,T,0,S,10,640,0,0,(empty),-,-,Private network range,Loopback
1696676417.153066,C3qHysaeUA0EuG3U1,169.228.1.244,50706,127.0.1.244,7000,tcp,-,2.005047,0,0,S0,T,T,0,S,4,256,0,0,(empty),-,-,UCSD - 169,Loopback
1696676703.050734,COkJZZ1zVrFnkye3ie,100.64.0.50,58329,169.228.0.200,7000,tcp,-,0.000004,0,0,S0,T,T,0,S,2,128,0,0,(empty),-,-,CGNAT,UCSD - 169
1696678137.809989,CtpNi31POe07SI8cN,0.0.0.50,57126,100.64.0.200,7000,tcp,-,4.072165,0,0,S0,T,T,0,S,10,640,0,0,(empty),-,-,This network,CGNAT
1696677729.006309,C7PYou1oPn3srqi9Of,128.54.0.0,49656,127.0.0.50,53,udp,dns,0.000280,41,932,SF,T,T,0,Dd,1,69,2,988,(empty),-,-,UCSD - 128,Loopback
1696678067.241218,CYvtz62xeZdCd0ErQa,169.228.1.244,52401,128.54.1.244,7000,tcp,-,2.003750,0,0,S0,T,T,0,S,4,256,0,0,(empty),-,-,UCSD - 169,UCSD - 128
1696677572.518321,CpVpLO3OzwKXxHjVCi,192.135.238.3,63683,192.168.0.200,53,udp,dns,0.001860,90,308,SF,T,T,0,Dd,1,118,2,364,(empty),-,-,Marine Physical Lab - ..238,Private network range - 192
1696677460.675416,C7AucPDsMc1vuwNL2,192.135.238.6,55864,0.0.0.200,7000,tcp,-,4.075938,0,0,S0,T,T,0,S,10,640,0,0,(empty),-,-,Marine Physical Lab - ..238,This network
1696676734.764563,CX5kL81ibBsLh435xe,132.239.1.244,65061,100.64.0.50,53,udp,dns,0.000177,44,222,SF,T,T,0,Dd,1,72,2,278,(empty),-,-,UCSD - 132,CGNAT
1696676884.881108,CVcocA4Ow1LFc5pzph,127.0.1.244,64518,169.228.0.0,53,udp,dns,0.000226,49,626,SF,T,T,0,Dd,1,77,2,682,(empty),-,-,Loopback,UCSD - 169
1696676943.646594,Cxzh4E2YDFwbKx0OPk,100.64.0.200,65432,137.110.0.200,53,udp,dns,0.001190,131,84,SF,T,T,0,Dd,1,159,2,140,(empty),-,-,CGNAT,UCSD - 137
1696677160.396501,CvrBoP1QcFD5niInTe,192.168.1.244,61530,169.228.0.0,53,udp,dns,0.000504,38,194,SF,T,T,0,Dd,1,66,2,250,(empty),-,-,Private network range - 192,UCSD - 169
1696677764.919746,CUAYi01XkiElfZSmoh,132.239.0.0,61357,127.0.0.50,7000,tcp,-,4.165687,0,0,S0,T,T,0,S,10,640,0,0,(empty),-,-,UCSD - 132,Loopback
1696677998.485996,CJM3cd2aqZNmJlXKdd,10.0.0.50,61445,172.16.0.200,7000,tcp,-,4.056940,0,0,S0,T,T,0,S,10,640,0,0,(empty),-,-,Private network range,Private network range - 172
1696676913.354168,C1Xbut4WKCl876SMGc,0.0.1.244,59555,132.239.0.0,7000,tcp,-,4.126026,0,0,S0,T,T,0,S,10,640,0,0,(empty),-,-,This network,UCSD - 132
1696677369.068134,C7wYZz2HEVs8NSl2kh,192.135.237.5,54504,10.0.0.0,7000,tcp,-,2.010625,0,0,S0,T,T,0,S,4,256,0,0,(empty),-,-,Marine Physical Lab - ..237,Private network range
1696677862.914693,CY7pwx2f13ZmhJ2N8,132.239.1.244,51724,192.168.1.244,7000,tcp,-,2.021171,0,0,S0,T,T,0,S,4,256,0,0,(empty),-,-,UCSD - 132,Private network range - 192
1696677066.925221,CCx5Qs1LAZFgmz9wtf,192.135.237.6,54599,192.135.238.9,7680,tcp,-,3.016815,0,0,S0,T,T,0,S,3,156,0,0,(empty),-,-,Marine Physical Lab - ..237,Marine Physical Lab - ..238
1696676616.52391,ChsccK1M1GrFxZtxB6,137.110.1.244,62686,192.168.0.200,53,udp,dns,0.011154,35,204,SF,T,T,0,Dd,1,63,2,260,(empty),-,-,UCSD - 137,Private network range - 192
1696677419.753078,CaPMAz2xVMtUx2SPNj,100.64.1.244,63461,100.64.0.200,443,tcp,ssl,73.981519,4266,2623,SF,T,F,0,ShADadFf,17,4959,32,6574,(empty),-,-,CGNAT,CGNAT
1696676939.909431,CYmjmX7IYyHhRosX4,192.135.238.2,9614,132.239.1.244,40113,tcp,-,0.548237,68,303,SF,T,F,0,ShADadFf,5,280,8,950,(empty),-,-,Marine Physical Lab - ..238,UCSD - 132
1696677328.661105,CzVxH32tS1n3RKG0Fj,169.228.0.50,62237,172.16.0.50,53,tcp,dns,0.008946,2213,80,SF,T,T,0,ShADadFf,6,2465,10,584,(empty),-,-,UCSD - 169,Private network range - 172
1696676684.665772,CNFKMS2TUV5kKbzGfk,192.135.237.2,58594,100.64.0.0,7000,tcp,-,2.017558,0,0,S0,T,T,0,S,4,256,0,0,(empty),-,-,Marine Physical Lab - ..237,CGNAT
1696677014.802259,Ch714LCsrmqVzTGgf,172.16.0.50,64122,192.135.237.3,7000,tcp,-,2.017864,0,0,S0,T,T,0,S,4,256,0,0,(empty),-,-,Private network range - 172,Marine Physical Lab - ..237
1696676760.0576,CEMyWr1toVEAzIFJ6,0.0.0.0,18679,169.228.0.0,24402,udp,-,5.643414,124,0,S0,T,F,0,D,2,180,0,0,(empty),-,-,This network,UCSD - 169
1696677817.542835,CFqt0c4dm7XLSq7H9g,132.239.0.200,52123,128.54.1.244,53,udp,dns,0.008779,64,228,SF,T,T,0,Dd,1,92,2,284,(empty),-,-,UCSD - 132,UCSD - 128
1696676873.967423,Cyf2tq1o018JHb7ffa,100.64.0.50,67,192.168.1.244,67,udp,-,2.013571,600,0,S0,T,T,0,D,2,656,0,0,(empty),-,-,CGNAT,Private network range - 192
1696676414.663264,CBaycYDwLYG7LlrGh,192.135.238.7,65258,172.16.0.200,7000,tcp,-,4.040882,0,0,S0,T,T,0,S,10,640,0,0,(empty),-,-,Marine Physical Lab - ..238,Private network range - 172
1696677257.790735,CvXOGRWXLkZ2PteW5,192.135.238.1,58567,137.110.0.200,7000,tcp,-,2.008007,0,0,S0,T,T,0,S,4,256,0,0,(empty),-,-,Marine Physical Lab - ..238,UCSD - 137
1696676555.971751,CrE5XC3Qkch1I148T6,127.0.1.244,55553,192.135.237.10,7000,tcp,-,4.057799,0,0,S0,T,T,0,S,10,640,0,0,(empty),-,-,Loopback,Marine Physical Lab - ..237
1696677896.351565,C4WYqw4lNBuz4pg1xf,0.0.1.244,63803,10.0.0.50,7000,tcp,-,2.053230,0,0,S0,T,T,0,S,4,256,0,0,(empty),-,-,This network,Private network range
1696677596.778344,CQ89yd42DiHKJQ3jRg,127.0.0.50,58799,100.64.1.244,53,udp,dns,0.000280,41,954,SF,T,T,0,Dd,1,69,2,1010,(empty),-,-,Loopback,CGNAT
1696677158.03915,Co6DHl3VIRPmVnI1Pf,172.16.0.50,55402,169.228.0.0,7000,tcp,-,4.281230,0,0,S0,T,T,0,S,10,640,0,0,(empty),-,-,Private network range - 172,UCSD - 169
1696677165.043477,CaANj84eX5gfBdcqjk,10.0.0.0,58815,192.135.238.3,53,udp,dns,0.000440,38,370,SF,T,T,0,Dd,1,66,2,426,(empty),-,-,Private network range,Marine Physical Lab - ..238
1696678029.187903,Clm4tH2CqckEbrQXNf,169.228.0.50,2508,100.64.0.50,15617,tcp,-,-,-,-,S0,T,F,0,S,1,52,0,0,(empty),-,-,UCSD - 169,CGNAT
1696677445.891375,CPn6GM29jiYlTyWQT7,137.110.0.0,55738,132.239.0.200,7000,tcp,-,4.145322,0,0,S0,T,T,0,S,10,640,0,0,(empty),-,-,UCSD - 137,UCSD - 132
1696677513.731658,CfYcYp2PLvSSM8tmsj,100.64.0.200,62600,192.135.237.0,7000,tcp,-,4.048509,0,0,S0,T,T,0,S,10,640,0,0,(empty),-,-,CGNAT,Marine Physical Lab - ..237
1696677182.876134,CXOxFg1FtSQyAqMuB,192.135.238.7,7250,128.54.0.0,18679,udp,-,35.767763,1618,619,SF,F,T,0,Dd,14,2010,8,843,(empty),-,-,Marine Physical Lab - ..238,UCSD - 128
1696677102.423034,ChaFJb2UzbSWtu8kt8,100.64.0.200,51108,100.64.1.244,53,udp,dns,0.000138,46,226,SF,T,T,0,Dd,1,74,2,282,(empty),-,-,CGNAT,CGNAT
1696676432.141572,C1DqQv2W3RX5IlZ0T4,192.135.237.5,51119,132.239.0.200,7000,tcp,-,4.041724,0,0,S0,T,T,0,S,10,640,0,0,(empty),-,-,Marine Physical Lab - ..237,UCSD - 132
1696677567.564339,CyO2gMnN7tAEK3FU,100.64.0.50,55964,192.135.238.4,443,tcp,-,0.123589,0,0,SF,T,F,0,ShAFf,4,216,4,224,(empty),-,-,CGNAT,Marine Physical Lab - ..238
1696676717.82741,CPBLU64PqWKs4CPs2e,128.54.0.200,61507,10.0.0.200,7000,tcp,-,4.029442,0,0,S0,T,T,0,S,10,640,0,0,(empty),-,-,UCSD - 128,Private network range
1696676492.164726,CCj2bk2SOyfFslVKAb,169.228.1.244,17617,100.64.0.0,53,udp,dns,0.000173,33,608,SF,T,T,0,Dd,1,61,2,664,(empty),-,-,UCSD - 169,CGNAT
1696677011.486858,C7IqOa4boSx3MhYBJ2,137.110.1.244,63684,0.0.0.0,7000,tcp,-,4.753991,0,0,S0,T,T,0,S,10,640,0,0,(empty),-,-,UCSD - 137,This network
1696676911.528142,CevOCV1FLFG7OKQqWd,0.0.0.50,61816,169.228.0.0,7000,tcp,-,4.124873,0,0,S0,T,T,0,S,10,640,0,0,(empty),-,-,This network,UCSD - 169
1696677882.158748,CKJ3Fo2GsHjj3t4NKb,127.0.0.50,64433,172.16.1.244,7000,tcp,-,4.054155,0,0,S0,T,T,0,S,10,640,0,0,(empty),-,-,Loopback,Private network range - 172
1696676728.233461,CbGZNY2JD91JbpbLu6,137.110.0.50,18679,10.0.0.200,58720,udp,-,-,-,-,S0,T,F,0,D,1,132,0,0,(empty),-,-,UCSD - 137,Private network range
1696676600.858794,COzpUt375wRhT6k5O3,132.239.0.200,59524,10.0.0.200,993,tcp,-,-,-,-,S0,T,F,0,S,1,64,0,0,(empty),-,-,UCSD - 132,Private network range
1696677521.065057,CrAAl64HjsWQR5LUVg,127.0.0.50,59505,137.110.0.0,7000,tcp,-,4.228716,0,0,S0,T,T,0,S,10,640,0,0,(empty),-,-,Loopback,UCSD - 137
1696678191.858226,CdV3ld2aaSNkeuEPif,192.135.238.0,52406,137.110.1.244,7000,tcp,-,2.064073,0,0,S0,T,T,0,S,4,256,0,0,(empty),-,-,Marine Physical Lab - ..238,UCSD - 137
1696677258.681805,CDN9QreyL1p3xqire,172.16.0.50,51875,137.110.1.244,7000,tcp,-,2.008791,0,0,S0,T,T,0,S,4,256,0,0,(empty),-,-,Private network range - 172,UCSD - 137
1696677745.704073,C8t6Br441kNuboC5r9,0.0.0.0,62825,0.0.1.244,53,udp,dns,0.000724,54,992,SF,T,T,0,Dd,1,82,2,1048,(empty),-,-,This network,This network
1696677509.860377,Cue5oa2GBZ5BUfBC9k,128.54.0.0,62461,192.135.237.7,53,udp,dns,0.001001,176,84,SF,T,T,0,Dd,1,204,2,140,(empty),-,-,UCSD - 128,Marine Physical Lab - ..237
1696676676.995251,C8fXFc1AMNpJtUa1Rg,0.0.0.200,52376,192.135.238.0,53,udp,dns,0.001090,126,80,SF,T,T,0,Dd,1,154,2,136,(empty),-,-,This network,Marine Physical Lab - ..238
1696677024.904622,CiOxG34K1Xg0vywFd3,192.168.0.50,63983,192.168.0.0,7000,tcp,-,2.079349,0,0,S0,T,T,0,S,4,256,0,0,(empty),-,-,Private network range - 192,Private network range - 192
1696677185.198183,C1SvaJjEW349nMyTh,137.110.0.200,14033,172.16.0.0,19470,tcp,-,3.003538,0,0,S0,T,F,0,S,3,156,0,0,(empty),-,-,UCSD - 137,Private network range - 172
1696677192.927909,CrlhMS2t3y5Fcmv4x3,192.135.238.10,58947,127.0.0.50,53,tcp,dns,0.005971,38,404,SF,T,T,0,ShADadFf,6,290,10,1232,(empty),-,-,Marine Physical Lab - ..238,Loopback
1696677616.668475,C8uy8x2QlpvgAoMuc6,192.135.238.5,8248,10.0.0.0,39478,tcp,-,-,-,-,S0,T,F,0,S,1,52,0,0,(empty),-,-,Marine Physical Lab - ..238,Private network range
1696676792.296117,C0xKnE26Lh6HWxXQc4,10.0.1.244,58319,10.0.0.0,7000,tcp,-,4.036150,0,0,S0,T,T,0,S,10,640,0,0,(empty),-,-,Private network range,Private network range
1696676532.33502,CLJfjMuSlSutYQPA4,192.168.0.200,53597,192.135.238.0,7000,tcp,-,4.086432,0,0,S0,T,T,0,S,10,640,0,0,(empty),-,-,Private network range - 192,Marine Physical Lab - ..238
1696677623.60703,CLNz784UNQammnERdg,172.16.1.244,54955,100.64.0.200,7000,tcp,-,2.013200,0,0,S0,T,T,0,S,4,256,0,0,(empty),-,-,Private network range - 172,CGNAT
1696677068.783636,CR8Q3o21faAGgIhOhg,0.0.0.200,62365,169.228.0.200,7000,tcp,-,4.064539,0,0,S0,T,T,0,S,10,640,0,0,(empty),-,-,This network,UCSD - 169
1696676708.105304,CGckna3c1BtgvDe0G2,169.228.0.200,67,127.0.0.0,67,udp,-,3.071973,600,0,S0,T,T,0,D,2,656,0,0,(empty),-,-,UCSD - 169,Loopback
1696678075.80187,CBU5Cq5kV0nB19Ifi,137.110.0.200,64123,192.135.237.4,7000,tcp,-,2.015536,0,0,S0,T,T,0,S,4,256,0,0,(empty),-,-,UCSD - 137,Marine Physical Lab - ..237
1696676469.592803,C64Yk21dL7KjP2ujJ,192.135.238.9,49613,192.135.237.5,7000,tcp,-,2.009527,0,0,S0,T,T,0,S,4,256,0,0,(empty),-,-,Marine Physical Lab - ..238,Marine Physical Lab - ..237
1696677187.822834,CfAl674qCFQcNsThSh,192.135.237.2,54119,100.64.1.244,7000,tcp,-,4.055932,0,0,S0,T,T,0,S,10,640,0,0,(empty),-,-,Marine Physical Lab - ..237,CGNAT
1696677663.74404,CdFxlMVdZOgGdHrH6,192.135.238.7,9413,192.135.237.7,29908,tcp,-,-,-,-,S0,T,F,0,S,1,52,0,0,(empty),-,-,Marine Physical Lab - ..238,Marine Physical Lab - ..237
1696677800.805338,CQ48mF4Pv59X121Tbf,172.16.0.0,61974,127.0.0.200,7000,tcp,-,2.016563,0,0,S0,T,T,0,S,4,256,0,0,(empty),-,-,Private network range - 172,Loopback
1696676834.528335,CBvlQL1lGcn91NGpMa,100.64.0.200,55968,172.16.1.244,7000,tcp,-,4.042080,0,0,S0,T,T,0,S,10,640,0,0,(empty),-,-,CGNAT,Private network range - 172
1696676511.012485,C4de9NzG91tyI8Z2d,10.0.0.0,65473,127.0.1.244,53,udp,dns,0.001329,49,198,SF,T,T,0,Dd,1,77,2,254,(empty),-,-,Private network range,Loopback
1696677729.401895,Cyg03p1cybdEL50BKa,132.239.0.200,56254,132.239.1.244,7000,tcp,-,2.003779,0,0,S0,T,T,0,S,4,256,0,0,(empty),-,-,UCSD - 132,UCSD - 132
1696676724.403177,C8BNA43RkuLwoKYTcb,172.16.1.244,54011,192.135.238.3,7000,tcp,-,4.031737,0,0,S0,T,T,0,S,10,640,0,0,(empty),-,-,Private network range - 172,Marine Physical Lab - ..238
1696677485.736814,CsfRhvQLE4xTrjjs6,0.0.0.50,56015,172.16.0.50,7000,tcp,-,2.024262,0,0,S0,T,T,0,S,4,256,0,0,(empty),-,-,This network,Private network range - 172
1696677863.766077,Cd1j0P1UukbXDv1gtf,128.54.0.50,59126,192.135.237.0,7000,tcp,-,2.010975,0,0,S0,T,T,0,S,4,256,0,0,(empty),-,-,UCSD - 128,Marine Physical Lab - ..237
1696676814.873235,CRa8tf19aFCLjFlxd4,10.0.0.0,67,128.54.1.244,67,udp,-,0.002441,300,300,SF,T,T,0,Dd,1,328,1,328,(empty),-,-,Private network range,UCSD - 128
1696678152.383452,C52Tmr1vHs9Gnc1pD1,137.110.0.50,54503,192.135.238.5,7000,tcp,-,4.046572,0,0,S0,T,T,0,S,10,640,0,0,(empty),-,-,UCSD - 137,Marine Physical Lab - ..238
1696677485.000255,Ct3ocG1gMgTxdTzj63,10.0.0.0,52685,192.135.238.10,53,udp,dns,0.000369,38,180,SF,T,T,0,Dd,1,66,2,236,(empty),-,-,Private network range,Marine Physical Lab - ..238
1696676919.738377,CNccia1wea3TDPxCuj,10.0.0.200,57581,192.135.238.6,7000,tcp,-,2.005238,0,0,S0,T,T,0,S,4,256,0,0,(empty),-,-,Private network range,Marine Physical Lab - ..238
1696678011.83598,Cd1kCu43lFFAEcfre7,10.0.1.244,53683,192.135.238.9,443,tcp,ssl,0.239199,2279,6353,SF,T,F,0,ShADadFf,11,2731,26,13770,(empty),-,-,Private network range,Marine Physical Lab - ..238
1696676647.389336,CpyhkB4BYPtuMYrr3l,0.0.1.244,58958,169.228.0.200,53,udp,dns,0.000281,41,186,SF,T,T,0,Dd,1,69,2,242,(empty),-,-,This network,UCSD - 169
1696676939.688037,CmT3W14i63Tg79yDrk,10.0.0.50,57780,192.135.237.1,7000,tcp,-,2.013254,0,0,S0,T,T,0,S,4,256,0,0,(empty),-,-,Private network range,Marine Physical Lab - ..237
